txn_id,txn_datetime,customer_id,account_id,counterparty_account_id,txn_amount,currency,origin_country,destination_country,txn_channel,payment_rail,txn_type,merchant_category,device_type,device_id,ip_country,account_age_days,kyc_risk_score,num_txn_24h,avg_amount_7d,is_pep,sanctions_match,is_cross_border,is_fintech_rail,origin_country_code,destination_country_code,ip_country_code,currency_code,txn_channel_code,payment_rail_code,txn_type_code,merchant_category_code,device_type_code,value_date,sar_label
65bb5d57-c7ae-4a7f-a0fb-0665d83a9e66,2025-06-01 00:58:06,CUST_004099,ACCT_004240,CP_027333,297.54,BRL,BR,CN,web,rtp,bill_pay,gaming,api,DEV_147562,US,1620,44.35,1,73.45,0,0,1,0,1,3,17,1,4,7,0,3,1,2024-01-01 00:10:24,0
372fde2a-38a6-4bbc-ba6e-90336dfbeb68,2025-06-01 00:21:57,CUST_018470,ACCT_031871,CP_048641,476.17,GBP,GB,IN,mobile_app,sepa,international_remit,travel,ios,DEV_069894,FR,1752,25.84,4,292.75,0,0,1,0,7,9,6,5,3,8,4,8,2,2024-01-01 00:40:32,0
e91863ea-a257-47b6-9350-cc17c3ee2833,2025-06-01 00:42:43,CUST_034037,ACCT_059011,CP_093388,39.91,HKD,HK,SG,branch,sepa,bill_pay,rideshare,android,DEV_029750,US,250,36.68,1,56.52,0,0,1,0,8,15,17,6,1,8,0,7,0,2024-01-01 00:51:15,0
eae61b41-ceb8-4055-aabd-7a4131b2c6a8,2025-06-01 00:43:15,CUST_036869,ACCT_019901,CP_025846,185.55,EUR,ES,IT,web,card,merchant_pay,charity,android,DEV_124410,US,2772,25.47,1,197.02,0,0,1,0,5,10,17,4,4,3,6,0,0,2024-01-01 01:12:11,0
c4f3ea57-9918-432b-9871-dbe550fba46c,2025-06-01 00:31:11,CUST_018264,ACCT_032434,CP_063336,3191.78,EUR,ES,GB,branch,wire,loan_payment,grocery,ios,DEV_194109,FR,1962,17.45,2,3067.53,0,0,1,0,5,7,6,4,1,12,5,4,2,2024-01-01 01:44:50,0
175f5ec6-4c7b-49ca-b4da-38949aa9cb08,2025-06-01 00:39:43,CUST_038682,ACCT_010653,,480.97,GBP,GB,TR,mobile_app,zelle,merchant_pay,utilities,ios,DEV_191151,US,1752,33.72,2,716.36,0,0,1,1,7,16,17,5,3,13,6,9,2,2024-01-01 01:50:24,0
cd95d5d0-ef83-436b-b33d-8781d72f4ff2,2025-06-01 00:03:18,CUST_006060,ACCT_074301,CP_071362,46.34,EUR,NL,US,mobile_app,venmo,merchant_pay,restaurants,ios,DEV_127439,TR,1115,16.85,3,125.95,0,0,1,1,14,17,16,4,3,11,6,6,2,2024-01-01 01:50:38,0
399cd0ad-f8a4-49dd-931d-0fa4ea7773d4,2025-06-01 00:07:35,CUST_012075,ACCT_024396,CP_072712,26.78,USD,US,CN,mobile_app,zelle,p2p_transfer,restaurants,api,DEV_124613,TR,3077,71.21,3,16.71,0,0,1,1,17,3,16,13,3,13,7,6,1,2024-01-01 02:03:28,0
02ff5847-0c22-483c-9399-dc207cc02c66,2025-06-01 00:01:42,CUST_042920,ACCT_002934,CP_082407,425.5,BRL,BR,US,mobile_app,paypal,international_remit,gaming,web,DEV_118619,DE,3033,49.31,2,578.66,0,0,1,1,1,17,4,1,3,6,4,3,3,2024-01-01 02:06:32,0
bdb1b524-3e1a-427b-85b6-5f0f2e978b96,2025-06-01 00:01:12,CUST_009022,ACCT_005080,CP_047292,16.85,EUR,DE,TR,web,google_pay,p2p_transfer,grocery,android,DEV_196324,FR,2288,45.95,3,59.11,0,0,1,1,4,16,6,4,4,5,7,4,0,2024-01-01 02:20:19,0
8e6aad7c-b679-4fbd-b450-de3cc09daf23,2025-06-01 02:44:08,CUST_040645,ACCT_062580,CP_049522,1122.96,AED,AE,MX,web,paypal,international_remit,travel,web,DEV_092779,MX,3374,1.4,2,1791.48,0,0,1,1,0,12,12,0,4,6,4,8,3,2024-01-01 02:25:42,0
f7a54b93-58ae-48af-bc64-fd60bf5ddad2,2025-06-01 01:20:49,CUST_005892,ACCT_075097,CP_008993,48.2,USD,US,US,mobile_app,card,merchant_pay,grocery,ios,DEV_151676,HK,101,37.99,1,58.31,0,0,0,0,17,17,8,13,3,3,6,4,2,2024-01-01 02:30:59,0
