txn_id,txn_datetime,customer_id,account_id,counterparty_account_id,txn_amount,currency,origin_country,destination_country,txn_channel,payment_rail,txn_type,merchant_category,device_type,device_id,ip_country,account_age_days,kyc_risk_score,num_txn_24h,avg_amount_7d,is_pep,sanctions_match,is_cross_border,is_fintech_rail,origin_country_code,destination_country_code,ip_country_code,currency_code,txn_channel_code,payment_rail_code,txn_type_code,merchant_category_code,device_type_code,value_date,sar_label
8969e9d5-0225-40c8-b809-b25b9fb3d7c5,2025-06-01 00:45:35,CUST_037333,ACCT_006552,CP_038533,208.71,GBP,GB,GB,web,card,cash_withdrawal,rideshare,ios,DEV_046806,NL,1086,38.72,0,118.76,0,0,0,0,7,7,14,5,4,3,2,7,2,2024-01-01 00:43:18,0
226a2b7a-5c9d-4b61-b60d-3ff5083c1133,2025-06-01 01:04:30,CUST_005244,ACCT_050824,CP_015276,59.63,GBP,GB,US,api,google_pay,p2p_transfer,charity,android,DEV_165459,US,2835,26.04,1,61.55,0,0,1,1,7,17,17,5,0,5,7,0,0,2024-01-01 02:24:49,0
f70a7750-276a-4ef9-9673-cdb6a6432fd5,2025-06-01 00:30:55,CUST_009241,ACCT_007928,CP_054916,7.46,USD,US,FR,call_center,zelle,cash_deposit,restaurants,android,DEV_154095,US,3553,30.35,1,26.24,0,0,1,1,17,6,17,13,2,13,1,6,0,2024-01-01 04:34:00,0
5c85b5ea-326e-4658-a9ca-57fa9bbb70c7,2025-06-01 00:15:47,CUST_018237,ACCT_013656,CP_017843,69.61,INR,IN,IT,web,ACH,p2p_transfer,restaurants,web,DEV_098074,DE,3564,38.07,4,106.27,0,0,1,0,9,10,4,7,4,0,7,6,3,2024-01-01 08:11:05,0
6afb9660-904e-411f-bb89-5e89dfa7a3f2,2025-06-01 00:28:28,CUST_044655,ACCT_044318,CP_104601,43.74,GBP,GB,ES,web,cashapp,merchant_pay,crypto,android,DEV_153182,US,2360,30.6,4,57.34,0,0,1,1,7,5,17,5,4,4,6,1,0,2024-01-01 08:38:29,0
c4fd02e3-2b4e-4ed0-bf08-2c8af7d21adb,2025-06-01 00:53:52,CUST_013414,ACCT_054650,CP_084789,31.14,EUR,NL,US,mobile_app,paypal,p2p_transfer,gaming,android,DEV_108563,ES,694,17.39,3,25.83,0,0,1,1,14,17,5,4,3,6,7,3,0,2024-01-01 08:57:49,0
db052aa1-b4c6-4480-89e0-82fe04df4ce4,2025-06-01 00:19:10,CUST_015504,ACCT_003700,CP_095135,67.77,SGD,SG,CH,web,ACH,p2p_transfer,charity,android,DEV_194150,US,758,40.12,2,64.54,0,0,1,0,15,2,17,11,4,0,7,0,0,2024-01-01 09:16:45,0
d022001a-b85d-4dd1-9cb3-fb96903164b4,2025-06-01 00:37:36,CUST_017092,ACCT_074745,CP_111451,89.01,EUR,DE,TR,mobile_app,zelle,p2p_transfer,gaming,web,DEV_109975,FR,235,46.65,2,49.45,0,0,1,1,4,16,6,4,3,13,7,3,3,2024-01-01 09:30:57,0
510c612b-8de7-4b2b-b22a-3c0958a99eee,2025-06-01 01:16:58,CUST_009105,ACCT_051320,CP_089173,402.86,EUR,FR,US,web,ACH,p2p_transfer,grocery,android,DEV_191284,US,1150,48.64,2,225.17,0,0,1,0,6,17,17,4,4,0,7,4,0,2024-01-01 09:43:12,0
ecc487ab-5492-4fa4-8a9a-d851a0eff9a4,2025-06-01 00:14:44,CUST_038093,ACCT_072808,CP_118476,116.49,USD,US,BR,api,venmo,bill_pay,grocery,web,DEV_166900,US,1016,5.24,1,156.75,0,0,1,1,17,1,17,13,0,11,0,4,3,2024-01-01 11:35:38,0
